,EUR_NGN_1. open,EUR_NGN_2. high,EUR_NGN_3. low,EUR_NGN_4. close,TRENDS_Euro to Naira
2020-02-27,401.6,401.6,401.23,401.44,42.0
2020-02-28,403.08,403.08,402.87,403.07,42.0
2020-03-02,408.15,408.44,405.89,405.89,42.0
2020-03-03,408.66,408.79,408.6,408.61,42.0
2020-03-04,405.83,406.27,405.76,406.25,42.0
2020-03-05,409.38,410.84,408.76,410.64,42.0
2020-03-06,413.28,413.28,412.55,412.92,42.0
2020-03-09,418.55,419.66,418.04,419.37,42.0
2020-03-10,416.87,416.99,416.73,416.99,42.0
2020-03-11,413.1,413.11,411.27,411.27,42.0
2020-03-12,405.18,405.76,405.18,405.58,42.0
2020-03-13,407.96,408.19,404.67,405.03,42.0
2020-03-16,408.15,408.31,407.99,407.99,42.0
2020-03-17,403.01,403.9,402.81,402.95,42.0
2020-03-18,397.81,398.02,397.45,397.45,42.0
2020-04-13,422.6,422.62,422.09,422.22,42.0
2020-04-14,423.17,424.49,423.12,423.42,42.0
2020-04-15,420.8,421.91,420.8,420.94,42.0
2020-04-16,419.81,419.81,418.99,419.51,42.0
2020-04-17,420.31,420.56,420.17,420.17,42.0
2020-04-20,423.76,423.76,423.43,423.43,42.0
2020-04-21,422.94,422.98,422.44,422.66,42.0
2020-04-22,422.17,422.65,421.35,422.05,42.0
2020-04-23,420.25,422.12,420.25,420.34,42.0
2020-04-24,421.07,421.07,420.61,420.64,42.0
2020-04-27,421.76,422.4,421.69,422.12,42.0
2020-04-28,421.98,421.98,421.74,421.82,42.0
2020-04-29,422.96,424.14,422.82,423.95,42.0
2020-04-30,426.04,427.04,426.04,426.96,42.0
2020-05-01,427.53,428.28,427.53,428.28,62.0
2020-05-04,424.99,425.14,424.9,425.14,62.0
2020-05-06,420.94,421.15,420.94,421.15,62.0
2020-05-07,420.4,421.78,419.97,421.78,62.0
2020-05-08,422.89,422.89,422.6,422.6,62.0
2020-05-11,422.32,422.35,420.78,420.81,62.0
2020-05-12,423.84,424.04,422.92,422.96,62.0
2020-05-13,423.2,423.33,421.05,421.77,62.0
2020-05-14,421.75,421.75,421.2,421.47,62.0
2020-05-15,419.26,419.26,419.08,419.11,62.0
2020-05-18,425.58,425.67,425.49,425.51,62.0
2020-05-19,426.14,426.49,425.93,425.95,62.0
2020-05-20,425.87,429.13,425.87,426.44,62.0
2020-05-21,426.42,427.52,426.42,427.04,62.0
2020-05-22,424.89,425.62,424.72,425.62,62.0
2020-05-26,428.34,428.69,428.23,428.47,62.0
2020-05-27,428.73,429.34,428.73,429.11,62.0
2020-05-28,429.42,429.5,427.6,429.15,62.0
2020-05-29,429.64,430.3,429.29,430.3,62.0
2020-06-01,430.41,431.39,430.41,431.38,63.0
2020-06-02,432.95,432.98,432.66,432.66,63.0
2020-06-03,433.92,435.98,433.92,435.15,63.0
2020-06-04,439.01,439.12,438.85,439.12,63.0
2020-06-05,438.38,438.41,438.07,438.32,63.0
2020-06-08,438.13,438.14,437.41,437.42,63.0
2020-06-09,439.83,440.22,439.11,439.3,63.0
2020-06-10,439.86,441.26,439.71,440.79,63.0
2020-06-11,438.66,438.78,437.66,438.03,63.0
2020-06-12,435.0,436.03,434.54,436.03,63.0
2020-06-15,436.75,439.3,436.35,438.75,63.0
2020-06-16,435.89,436.67,435.89,436.63,63.0
2020-06-17,436.72,436.97,434.81,435.31,63.0
2020-06-18,435.73,435.86,434.11,434.11,63.0
2020-06-19,434.99,434.99,432.87,432.98,63.0
2020-06-22,435.84,436.96,435.84,436.88,63.0
2020-06-23,438.91,438.91,438.42,438.42,63.0
2020-06-24,436.88,436.88,436.34,436.45,63.0
2020-06-25,436.45,436.45,434.4,434.48,63.0
2020-06-26,434.93,435.08,434.88,435.08,63.0
2020-06-29,436.59,436.59,435.27,435.45,63.0
2020-06-30,434.51,436.35,434.5,436.35,63.0
2020-07-01,435.37,436.93,435.37,435.91,67.0
2020-07-02,435.94,435.99,435.2,435.94,67.0
2020-07-03,435.47,436.17,435.47,436.08,67.0
2020-07-06,438.15,438.75,438.04,438.04,67.0
2020-07-07,437.32,437.39,436.72,436.72,67.0
2020-07-08,438.86,439.14,438.39,439.0,67.0
2020-07-09,439.33,439.33,437.37,437.68,67.0
2020-07-10,438.25,438.71,437.19,437.63,67.0
2020-07-13,439.39,440.16,439.39,440.05,67.0
2020-07-14,441.0,441.03,440.96,441.03,67.0
2020-07-15,441.51,443.09,441.46,442.64,67.0
2020-07-16,442.61,443.25,442.61,442.86,67.0
2020-07-17,441.07,443.21,441.04,443.2,67.0
2020-07-20,443.31,444.02,442.93,443.91,67.0
2020-07-21,443.74,446.59,443.74,446.33,67.0
2020-07-22,448.61,448.99,448.47,448.76,67.0
2020-07-23,448.3,449.63,448.3,449.63,67.0
2020-07-24,450.77,451.61,450.57,451.42,67.0
2020-07-27,455.98,455.98,455.77,455.77,67.0
